id,variant,ime_seta,tema,leto,tip_seta,figurice,st_kock,us_cena,eu_cena,us_ppp,eu_ppp,pakiranje,dostopnost,us_cas_izida,eu_cas_izida
1029,1,Milk Delivery Truck,Town,1999,normal,1,95,,,,,Box,Promotional,,
1054,1,Stena Line Ferry,Promotional,1999,normal,,212,,,,,Box,Promotional,,
1061,1,Single Disc Pack,Technic,1999,normal,,,,,,,Polybag,Unknown,,
1068,1,Air Patrol,Town,1999,normal,1,20,,,,,Box,Retail - limited,,
1069,1,Speedboat,Town,1999,normal,1,22,,,,,Box,Retail - limited,,
1070,1,Stunt Flyer,Town,1999,normal,1,20,3.0,,15.0,15.0,Box,Retail - limited,,
1076,1,Advent Calendar,Basic,1999,normal,,229,,,,,,,,
1088,1,Road Burner,Town,1999,normal,,25,,,,,Box,Retail - limited,,
1094,1,Johnny Thunder,Adventurers,1999,normal,1,13,,,,,Box,Retail,,
1095,1,Super Sub,Aquazone,1999,normal,1,24,3.0,,12.5,12.5,Box,Retail - limited,,
1096,1,Race Buggy,Town,1999,normal,1,23,,,,,Box,Retail - limited,,
1097,1,Res-Q Runner,Town,1999,normal,1,18,2.0,,11.1,11.1,Box,Retail - limited,,
1098,1,Hang Glider,Town,1999,normal,1,19,,,,,Box,Retail - limited,,
1099,1,Ninja Blaster,Castle,1999,normal,1,24,2.0,,8.3,8.3,,,,
1106,2,"Basic Building Set, 5+",Basic,1999,normal,2,411,,,,,Box,Retail,,
1127,1,Santa,Seasonal,1999,normal,,39,,,,,,,,
1128,1,Santa on Skis,Seasonal,1999,normal,,21,14.0,,66.7,66.7,,,,
1129,1,Santa on Reindeer,Seasonal,1999,normal,,34,14.0,,41.2,41.2,,,,
1180,1,Space Port Moon Buggy,Town,1999,normal,1,25,,,,,Box,Promotional,,
1181,1,Space Jet,Town,1999,normal,1,23,,,,,Box,Promotional,,
1182,1,Adventurers Raft,Adventurers,1999,normal,1,18,,,,,Box,Promotional,,
1183,1,Mummy and Cart,Adventurers,1999,normal,1,17,,,,,Box,Promotional,,
1184,1,Cart,Castle,1999,normal,1,24,,,,,Box,Promotional,,
1185,1,Raft,Castle,1999,normal,1,25,2.0,,8.0,8.0,Box,Promotional,,
1186,1,Cart,Castle,1999,normal,1,25,,,,,Box,Promotional,,
1187,1,Glider,Castle,1999,normal,1,23,2.0,,8.7,8.7,Box,Promotional,,
1188,1,Fire Formula,Town,1999,normal,1,38,,,,,Polybag,Promotional,,
1189,1,Rocket Boat,Town,1999,normal,1,30,,,,,Polybag,Promotional,,
1190,1,Retro Buggy,Town,1999,normal,1,45,,,,,Polybag,Promotional,,
1191,1,Try Bird,Town,1999,normal,1,34,,,,,Polybag,Promotional,,
1192,1,Stack N' Learn Gift Box,Primo,1999,normal,2,,20.0,,52.6,52.6,,,,
1193,1,Water Park Tub,Duplo,1999,normal,2,44,20.0,,45.5,45.5,,,,
1194,1,Birthday Table Set,Classic,1999,normal,,400,20.0,,5.0,5.0,,,,
1246,1,Helicopter,Town,1999,normal,1,26,1.7,,6.5,6.5,Box,Promotional,,
1247,1,Patrol Car,Town,1999,normal,1,32,1.7,,5.3,5.3,Box,Promotional,,
1248,1,Fire Boat,Town,1999,normal,1,24,1.7,,7.1,7.1,Box,Promotional,,
1249,1,Tri-motorbike,Town,1999,normal,1,14,1.7,,12.1,12.1,Box,Promotional,,
1250,1,Dragster,Town,1999,normal,1,25,1.7,,6.8,6.8,Box,Promotional,,
1251,1,Go-Cart,Town,1999,normal,1,26,1.7,,6.5,6.5,Box,Promotional,,
1252,1,Shell Tanker,Town,1999,normal,1,107,7.0,,6.5,6.5,Box,Promotional,,
1253,1,Shell Race Car Transporter,Town,1999,normal,1,102,6.25,,6.1,6.1,Box,Promotional,,
1254,1,Shell Convenience Store,Town,1999,normal,3,159,13.0,,8.2,8.2,Box,Promotional,,
1255,1,Shell Car Wash,Town,1999,normal,2,137,13.0,,9.5,9.5,Box,Promotional,,
1256,1,Shell Service Station,Town,1999,normal,2,144,20.0,,13.9,13.9,Box,Promotional,,
1257,1,Tricycle,Technic,1999,normal,,24,,,,,Box,Promotional,,
1258,1,Buggy,Technic,1999,normal,,29,,,,,Box,Promotional,,
1259,1,Motorbike,Technic,1999,normal,,28,,,,,Box,Promotional,,
1260,1,Car,Technic,1999,normal,,26,,,,,Box,Promotional,,
1265,1,Moon Buggy,Town,1999,normal,1,25,3.0,,12.0,12.0,Box,Retail - limited,,
1266,1,Space Probe,Town,1999,normal,1,23,,,,,Box,Retail - limited,,
1268,1,Bike Blaster,Technic,1999,normal,,28,2.0,,7.1,7.1,Polybag,Retail - limited,,
1269,1,White Ninja,Castle,1999,normal,1,23,3.0,,13.0,13.0,,,,
1271,1,Jungle Surprise,Adventurers,1999,normal,1,33,2.0,,6.1,6.1,Box,Unknown,,
1274,1,Light Hover,Rock Raiders,1999,normal,1,25,,,,,Polybag,Promotional,,
1275,1,Chainsaw Bulldozer,Rock Raiders,1999,normal,1,22,,,,,Polybag,Promotional,,
1276,1,Helicopter Transport,Rock Raiders,1999,normal,1,22,,,,,Polybag,Promotional,,
1277,1,Drill Craft,Rock Raiders,1999,normal,1,27,,,,,Polybag,Promotional,,
1841,1,{Aeroplane},Classic,1999,normal,,15,0.0,,0.0,0.0,Polybag,Promotional,,
1995,1,{Racer},Classic,1999,normal,,15,0.0,,0.0,0.0,Polybag,Promotional,,
2025,1,{Boat},Classic,1999,normal,,12,0.0,,0.0,0.0,Polybag,Promotional,,
2030,1,Squirting Frog,Primo,1999,normal,,,4.0,,400.0,400.0,,,,
2031,1,Tiny Turtle,Primo,1999,normal,1,,,,,,,,,
2032,1,{Helicopter},Classic,1999,normal,,18,,,,,Polybag,Promotional,,
2039,1,Paddleboat,Primo,1999,normal,1,,,,,,,,,
2044,1,Waterlily Princess and Friend,Primo,1999,normal,1,,,,,,,,,
